"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000171889"	"-0.321052631578947"	"0.0467789022661722"	"0.0944452590622385"
"ENSG00000171987"	"0.704048582995951"	"1.47615839968382e-06"	"5.3214599099713e-05"
"ENSG00000172460"	"0.718825910931174"	"8.51170621920022e-07"	"4.64843460382915e-05"
"ENSG00000172965"	"-0.0546558704453441"	"0.740325491773617"	"0.816293943539681"
"ENSG00000173077"	"-0.740890688259109"	"4.08284776943206e-07"	"4.18882682022276e-05"
"ENSG00000173811"	"0.108502024291498"	"0.509498494790156"	"0.624639699711244"
"ENSG00000173862"	"0.438866396761134"	"0.00557977588038141"	"0.0154802333213432"
"ENSG00000174171"	"0.302024291497976"	"0.0620575078395719"	"0.119520437227504"
"ENSG00000174325"	"-0.49310552263964"	"0.00142522049159187"	"0.00493378048067369"
"ENSG00000174365"	"0.718016194331984"	"8.76286160002427e-07"	"4.66512632697542e-05"
"ENSG00000174403"	"-0.0301619433198381"	"0.855150886454168"	"0.904438117787357"
"ENSG00000174407"	"0.338461538461538"	"0.0356288428580453"	"0.0749473002398864"
"ENSG00000174680"	"0.576315789473684"	"0.000162233651536955"	"0.000889619272277763"
"ENSG00000175061"	"0.307692307692308"	"0.0571383180921936"	"0.111480089420667"
"ENSG00000175147"	"0.623076923076923"	"3.39266930176492e-05"	"0.000289032658239346"
"ENSG00000175170"	"0.322672064777328"	"0.0456345229969819"	"0.0925366716327688"
"ENSG00000175604"	"0.589878542510122"	"0.000105369140153299"	"0.000643509310844723"
"ENSG00000175611"	"0.689271255060729"	"2.63744022925064e-06"	"6.81771640540698e-05"
"ENSG00000175728"	"0.600202429149798"	"7.4961965648391e-05"	"0.000504788560837825"
"ENSG00000175746"	"0.375506072874494"	"0.0190644338018579"	"0.0439369745078335"
"ENSG00000175772"	"0.255668016194332"	"0.116127282357768"	"0.19950969448242"
"ENSG00000175773"	"0.734008097165992"	"5.0730241898003e-07"	"4.21577285921349e-05"
"ENSG00000175779"	"0.551214574898785"	"0.000344868590727463"	"0.00159086300935891"
"ENSG00000175967"	"0.608937700056133"	"3.89583399857773e-05"	"0.000318205182541174"
"ENSG00000176124"	"0.512753036437247"	"0.00098895294533935"	"0.00367689651490167"
"ENSG00000176236"	"0.518623481781377"	"0.000848327970873902"	"0.00324655003270222"
"ENSG00000176320"	"0.753846153846154"	"2.77822854205183e-07"	"4.09634681324004e-05"
"ENSG00000176349"	"0.574898785425101"	"0.000169545854801694"	"0.000917865855890515"
"ENSG00000176515"	"0.0108904660375169"	"0.947537023033247"	"0.964939775881364"
"ENSG00000176593"	"0.710526315789474"	"1.15403599691259e-06"	"5.04556579066018e-05"
"ENSG00000176605"			
"ENSG00000176659"	"0.0226720647773279"	"0.890986233257284"	"0.927527599345859"
"ENSG00000176728"	"0.333603238866397"	"0.0384933786171799"	"0.0802145695358896"
"ENSG00000176753"	"0.165991902834008"	"0.311321067398137"	"0.433064975550556"
"ENSG00000176754"	"0.00506753006597139"	"0.975574799423046"	"0.983922607734315"
"ENSG00000176840"	"0.643522267206478"	"1.5967649859492e-05"	"0.000177452093585981"
"ENSG00000176868"	"0.656072874493927"	"9.85920458664193e-06"	"0.000132667637755735"
"ENSG00000176912"	"0.18502024291498"	"0.258465352979944"	"0.375809202390856"
"ENSG00000176984"	"0.626113360323887"	"3.04149100967037e-05"	"0.000268312802061555"
"ENSG00000177112"	"-0.413967611336032"	"0.00927642317304778"	"0.0237841340492148"
"ENSG00000177133"	"0.794736842105263"	"7.88713204339198e-08"	"4.09634681324004e-05"
"ENSG00000177234"	"-0.458166901188734"	"0.00335583290765211"	"0.0100735359448411"
"ENSG00000177335"	"0.684008097165992"	"3.2541221576894e-06"	"7.43799350329006e-05"
"ENSG00000177337"	"0.532388663967611"	"0.000586042280793186"	"0.00241360149494515"
"ENSG00000177338"	"-0.506402146506122"	"0.00100410399206302"	"0.00372204376793626"
"ENSG00000177340"	"0.12165991902834"	"0.459236611522437"	"0.579541608047617"
"ENSG00000177369"	"0.386032388663968"	"0.0157706839407443"	"0.037355756372398"
"ENSG00000177406"	"0.631578947368421"	"2.49252124406274e-05"	"0.00023588480710495"
