""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ABHD12"	1158.78606141188	-0.161126469550947	0.0632372306770858	-2.54796846455409	0.0108352265305355	0.02437095243109
"ABHD12B"	15.6225625976449	3.85017954523906	0.566023496001419	6.80215498550507	1.03065628589591e-11	1.1889645926043e-10
"ABHD13"	583.389981456566	-0.0869947250467141	0.095342332332957	-0.912445950481983	0.36153400979491	0.489915579361792
"ABHD14A"	337.016718713535	0.425888107537536	0.0783554148697923	5.43533728007515	5.46928773444865e-08	3.54861680191226e-07
"ABHD14A-ACY1"	75.0083937908922	0.13894166561729	0.137071513880233	1.01364362064821	0.31075283538214	0.433105234461485
"ABHD14B"	1648.53873430284	-0.171614993390797	0.0865225688216357	-1.98347085307392	0.0473148596558073	0.0887601631851047
"ABHD15"	463.957654967353	0.0446977617030157	0.0698998238468074	0.639454568597703	0.522527259599306	0.653681841717455
"ABHD16A"	1348.33144775276	0.0189091697008239	0.0427372114375118	0.442452117599483	0.658162072206467	0.774291600648104
"ABHD16B"	0.219933803718012	-0.31246599158624	1.8352322146505	-0.170259648393185	0.864805943788173	0.932351508487034
"ABHD17A"	2727.59364422447	0.0876852204928375	0.0776647797496676	1.12902168493194	0.258888686059345	0.374563608077818
"ABHD17B"	357.970871185354	-0.114323507748729	0.0785633040076786	-1.45517693270073	0.145620285180881	0.23157645051407
"ABHD17C"	762.991518104318	-0.780407765034059	0.11472042538433	-6.80269239256723	1.02681747847474e-11	1.18525317778661e-10
"ABHD18"	523.019124823499	-0.34980252311545	0.0649096806057026	-5.38906554232403	7.08249748541065e-08	4.50788199430226e-07
"ABHD2"	6190.08734529778	0.0443143578949169	0.124650979558264	0.355507498231923	0.722209428558142	0.828878218066519
"ABHD3"	581.604069730677	-0.473173300683033	0.121063224992804	-3.90848088435739	9.28782946120859e-05	0.000324079817009673
"ABHD4"	1129.44092688325	-0.415565754138872	0.0687273083211472	-6.04658852922083	1.47944954727642e-09	1.21601825073336e-08
"ABHD5"	569.047659165673	-0.642628351633029	0.0941647600730582	-6.82451005168433	8.82258970634285e-12	1.03276834321824e-10
"ABHD6"	432.541254951549	-0.268730641050403	0.092058906535804	-2.91911615250271	0.00351025402359671	0.0088576199518282
"ABHD8"	309.18841279186	-0.381657303015909	0.0795010000305702	-4.80066040514147	1.58143246377451e-06	7.84504049212178e-06
"ABI1"	1603.03597185681	-0.103496942811979	0.0755415864653767	-1.37006578302952	0.170666367778806	0.265256904977916
"ABI2"	1728.81438529296	0.15993882952222	0.0664106050691224	2.40833266547941	0.0160255709152859	0.0343941037460424
"ABI3"	488.612410530566	0.0522618441832781	0.105915245823564	0.493430797208716	0.621708226068208	0.743328996356803
"ABI3BP"	3290.65046275187	0.0928894667140374	0.120487895424066	0.770944387293895	0.440739895765908	0.573370792219955
"ABITRAM"	543.953374217868	-0.188231613412292	0.077448502585696	-2.43040997731384	0.0150817521527491	0.0325875196092638
"ABL1"	3321.83758534651	0.432553830398173	0.0993017282622734	4.35595470459207	1.32488174150313e-05	5.50897730674295e-05
"ABL2"	1874.19536440911	0.632212570952877	0.146472263590545	4.31626135525692	1.58694073223026e-05	6.48272768271182e-05
"ABLIM1"	5943.08992579386	-0.393725280543094	0.106333083678748	-3.70275427855182	0.000213271426012172	0.000691409864438303
"ABLIM2"	228.015292947214	0.245072511789035	0.120528649131372	2.03331335375637	0.0420208748936575	0.0801659641611953
"ABLIM3"	2431.47690581429	0.486927299247036	0.150018045981055	3.24579150503352	0.00117124584160635	0.00326384435972403
"ABO"	550.255258453486	-0.289397412278291	0.184360934413691	-1.56973283520524	0.116477278882097	0.191954475067212
"ABR"	4500.48124601564	-0.196704001600621	0.069646250727848	-2.82433009020497	0.00473795616763305	0.0116188382408172
"ABRA"	8.28204862595139	1.35089911693329	0.388659638824771	3.47578956492148	0.000509351788081125	0.00153078475128747
"ABRACL"	433.858733031743	-0.0491080374759574	0.0933115404340415	-0.526280428417855	0.598693379312513	0.723799153623934
"ABRAXAS1"	369.059276998525	-0.0828401889330284	0.0818825681077759	-1.01169505118589	0.311683882450432	0.434053892824603
"ABRAXAS2"	573.154751376415	-0.181739480060778	0.0449671467595162	-4.04160577571707	5.30864253116939e-05	0.00019504914147759
"ABT1"	709.824744267702	-0.100701818054668	0.0541748931920289	-1.85882817890788	0.0630514969021443	0.113509845187499
